############################
########## POWER ###########
############################

# STRIKE CRUISER #---------------------------
@ukn_StrikeCruiser_t0a_reactor_power = 219
@ukn_StrikeCruiser_t0b_reactor_power = 285 
@ukn_StrikeCruiser_t1_reactor_power = 370 
@ukn_StrikeCruiser_t2_reactor_power = 481 
@ukn_StrikeCruiser_t3_reactor_power = 625 
@ukn_StrikeCruiser_t4_reactor_power = 813 
@ukn_StrikeCruiser_t5_reactor_power = 1097 
@ukn_StrikeCruiser_t6_reactor_power = 1536 
@ukn_StrikeCruiser_t7_reactor_power = 2228
@ukn_StrikeCruiser_t8_reactor_power = 3342
@ukn_StrikeCruiser_t9_reactor_power = 5179
@ukn_StrikeCruiser_t10_reactor_power = 5179
@ukn_StrikeCruiser_t_p_reactor_power = 5179

# BATTLECRUISER #---------------------------
@ukn_Battlecruiser_t0a_reactor_power = 266
@ukn_Battlecruiser_t0b_reactor_power = 346
@ukn_Battlecruiser_t1_reactor_power = 450
@ukn_Battlecruiser_t2_reactor_power = 585
@ukn_Battlecruiser_t3_reactor_power = 761
@ukn_Battlecruiser_t4_reactor_power = 989
@ukn_Battlecruiser_t5_reactor_power = 1335
@ukn_Battlecruiser_t6_reactor_power = 1869
@ukn_Battlecruiser_t7_reactor_power = 2709
@ukn_Battlecruiser_t8_reactor_power = 4064
@ukn_Battlecruiser_t9_reactor_power = 6299
@ukn_Battlecruiser_t10_reactor_power = 6299
@ukn_Battlecruiser_t_p_reactor_power = 6299

# DREADNOUGHT #---------------------------
@ukn_Dreadnought_t0a_reactor_power = 947 
@ukn_Dreadnought_t0b_reactor_power = 1231 
@ukn_Dreadnought_t1_reactor_power = 1600 
@ukn_Dreadnought_t2_reactor_power = 2080 
@ukn_Dreadnought_t3_reactor_power = 2704 
@ukn_Dreadnought_t4_reactor_power = 3515 
@ukn_Dreadnought_t5_reactor_power = 4746 
@ukn_Dreadnought_t6_reactor_power = 6644 
@ukn_Dreadnought_t7_reactor_power = 9633 
@ukn_Dreadnought_t8_reactor_power = 14450 
@ukn_Dreadnought_t9_reactor_power = 22398 
@ukn_Dreadnought_t10_reactor_power = 22398 
@ukn_Dreadnought_t_p_reactor_power = 22398 

# FLAGSHIP #---------------------------
@ukn_Flagship_t0a_reactor_power = 1704 
@ukn_Flagship_t0b_reactor_power = 2215 
@ukn_Flagship_t1_reactor_power = 2880 
@ukn_Flagship_t2_reactor_power = 3744 
@ukn_Flagship_t3_reactor_power = 4867 
@ukn_Flagship_t4_reactor_power = 6327 
@ukn_Flagship_t5_reactor_power = 8542 
@ukn_Flagship_t6_reactor_power = 11959 
@ukn_Flagship_t7_reactor_power = 17340 
@ukn_Flagship_t8_reactor_power = 26010 
@ukn_Flagship_t9_reactor_power = 40316 
@ukn_Flagship_t10_reactor_power = 40316 
@ukn_Flagship_t_p_reactor_power = 40316 

# STATION #---------------------------
@ukn_Station_t0a_reactor_power = 118 
@ukn_Station_t0b_reactor_power = 154 
@ukn_Station_t1_reactor_power = 200
@ukn_Station_t2_reactor_power = 260
@ukn_Station_t3_reactor_power = 338
@ukn_Station_t4_reactor_power = 439
@ukn_Station_t5_reactor_power = 593
@ukn_Station_t6_reactor_power = 830
@ukn_Station_t7_reactor_power = 1204
@ukn_Station_t8_reactor_power = 1806
@ukn_Station_t9_reactor_power = 2800
@ukn_Station_t10_reactor_power = 2800
@ukn_Station_t_p_reactor_power = 2800

# FORTRESS #---------------------------
@ukn_Fortress_t0a_reactor_power = 414
@ukn_Fortress_t0b_reactor_power = 538
@ukn_Fortress_t1_reactor_power = 700
@ukn_Fortress_t2_reactor_power = 910
@ukn_Fortress_t3_reactor_power = 1183
@ukn_Fortress_t4_reactor_power = 1538 
@ukn_Fortress_t5_reactor_power = 2076 
@ukn_Fortress_t6_reactor_power = 2907 
@ukn_Fortress_t7_reactor_power = 4215 
@ukn_Fortress_t8_reactor_power = 6322 
@ukn_Fortress_t9_reactor_power = 9799 
@ukn_Fortress_t10_reactor_power = 9799 
@ukn_Fortress_t_p_reactor_power = 9799 
