##############################
########## EVASION ###########
##############################

# ATTACK MOON #---------------------------
@ukn_attack_moon_t0a_thruster_evasion = 0
@ukn_attack_moon_t0b_thruster_evasion = 0
@ukn_attack_moon_t1_thruster_evasion = 0
@ukn_attack_moon_t2_thruster_evasion = 0
@ukn_attack_moon_t3_thruster_evasion = 0
@ukn_attack_moon_t4_thruster_evasion = 0
@ukn_attack_moon_t5_thruster_evasion = 0
@ukn_attack_moon_t6_thruster_evasion = 0
@ukn_attack_moon_t7_thruster_evasion = 0
@ukn_attack_moon_t8_thruster_evasion = 0
@ukn_attack_moon_t_p_thruster_evasion = 0
@ukn_attack_moon_t9_thruster_evasion = 0
@ukn_attack_moon_t10_thruster_evasion = 0

# BEHEMOTH PLANETCRAFT #---------------------------
@ukn_planetcraft_t0a_thruster_evasion = 0
@ukn_planetcraft_t0b_thruster_evasion = 0
@ukn_planetcraft_t1_thruster_evasion = 0
@ukn_planetcraft_t2_thruster_evasion = 0
@ukn_planetcraft_t3_thruster_evasion = 0
@ukn_planetcraft_t4_thruster_evasion = 0
@ukn_planetcraft_t5_thruster_evasion = 0
@ukn_planetcraft_t6_thruster_evasion = 0
@ukn_planetcraft_t7_thruster_evasion = 0
@ukn_planetcraft_t8_thruster_evasion = 0
@ukn_planetcraft_t_p_thruster_evasion = 0
@ukn_planetcraft_t9_thruster_evasion = 0
@ukn_planetcraft_t10_thruster_evasion = 0

# STELLAR SYSTEMCRAFT #---------------------------
@ukn_systemcraft_t0a_thruster_evasion = 0
@ukn_systemcraft_t0b_thruster_evasion = 0
@ukn_systemcraft_t1_thruster_evasion = 0
@ukn_systemcraft_t2_thruster_evasion = 0
@ukn_systemcraft_t3_thruster_evasion = 0
@ukn_systemcraft_t4_thruster_evasion = 0
@ukn_systemcraft_t5_thruster_evasion = 0
@ukn_systemcraft_t6_thruster_evasion = 0
@ukn_systemcraft_t7_thruster_evasion = 0
@ukn_systemcraft_t8_thruster_evasion = 0
@ukn_systemcraft_t_p_thruster_evasion = 0
@ukn_systemcraft_t9_thruster_evasion = 0
@ukn_systemcraft_t10_thruster_evasion = 0

############################
########## POWER ###########
############################

# ATTACK MOON #---------------------------
@ukn_attack_moon_t0a_thruster_power = 0
@ukn_attack_moon_t0b_thruster_power = 0
@ukn_attack_moon_t1_thruster_power = 0
@ukn_attack_moon_t2_thruster_power = 0
@ukn_attack_moon_t3_thruster_power = 0
@ukn_attack_moon_t4_thruster_power = 0
@ukn_attack_moon_t5_thruster_power = 0
@ukn_attack_moon_t6_thruster_power = 0
@ukn_attack_moon_t7_thruster_power = 0
@ukn_attack_moon_t8_thruster_power = 0
@ukn_attack_moon_t_p_thruster_power = 0
@ukn_attack_moon_t9_thruster_power = 0
@ukn_attack_moon_t10_thruster_power = 0

# BEHEMOTH PLANETCRAFT #---------------------------
@ukn_planetcraft_t0a_thruster_power = 0
@ukn_planetcraft_t0b_thruster_power = 0
@ukn_planetcraft_t1_thruster_power = 0
@ukn_planetcraft_t2_thruster_power = 0
@ukn_planetcraft_t3_thruster_power = 0
@ukn_planetcraft_t4_thruster_power = 0
@ukn_planetcraft_t5_thruster_power = 0
@ukn_planetcraft_t6_thruster_power = 0
@ukn_planetcraft_t7_thruster_power = 0
@ukn_planetcraft_t8_thruster_power = 0
@ukn_planetcraft_t_p_thruster_power = 0
@ukn_planetcraft_t9_thruster_power = 0
@ukn_planetcraft_t10_thruster_power = 0

# STELLAR SYSTEMCRAFT #---------------------------
@ukn_systemcraft_t0a_thruster_power = 0
@ukn_systemcraft_t0b_thruster_power = 0
@ukn_systemcraft_t1_thruster_power = 0
@ukn_systemcraft_t2_thruster_power = 0
@ukn_systemcraft_t3_thruster_power = 0
@ukn_systemcraft_t4_thruster_power = 0
@ukn_systemcraft_t5_thruster_power = 0
@ukn_systemcraft_t6_thruster_power = 0
@ukn_systemcraft_t7_thruster_power = 0
@ukn_systemcraft_t8_thruster_power = 0
@ukn_systemcraft_t_p_thruster_power = 0
@ukn_systemcraft_t9_thruster_power = 0
@ukn_systemcraft_t10_thruster_power = 0

