#######################
##### DISRUPTORS ######
#######################

@ukn_disruptor_4_hull_damage_mult = 1.00
@ukn_disruptor_5_hull_damage_mult = 1.00
@ukn_disruptor_6_hull_damage_mult = 1.10
@ukn_disruptor_7_hull_damage_mult = 1.10
@ukn_disruptor_8_hull_damage_mult = 1.10
@ukn_disruptor_9_hull_damage_mult = 1.25
@ukn_disruptor_10_hull_damage_mult = 1.25
@ukn_disruptor_planck_hull_damage_mult = 1.10

@ukn_disruptor_4_armor_penetration_mult = 1.00
@ukn_disruptor_5_armor_penetration_mult = 1.00
@ukn_disruptor_6_armor_penetration_mult = 1.00
@ukn_disruptor_7_armor_penetration_mult = 1.00
@ukn_disruptor_8_armor_penetration_mult = 1.00
@ukn_disruptor_9_armor_penetration_mult = 1.00
@ukn_disruptor_10_armor_penetration_mult = 1.00
@ukn_disruptor_planck_armor_penetration_mult = 1.00

@ukn_disruptor_4_shield_penetration_mult = 1.00
@ukn_disruptor_5_shield_penetration_mult = 1.00
@ukn_disruptor_6_shield_penetration_mult = 1.00
@ukn_disruptor_7_shield_penetration_mult = 1.00
@ukn_disruptor_8_shield_penetration_mult = 1.00
@ukn_disruptor_9_shield_penetration_mult = 1.00
@ukn_disruptor_10_shield_penetration_mult = 1.00
@ukn_disruptor_planck_shield_penetration_mult = 1.00

@ukn_disruptor_4_armor_damage_mult = 1.00
@ukn_disruptor_5_armor_damage_mult = 1.00
@ukn_disruptor_6_armor_damage_mult = 1.00
@ukn_disruptor_7_armor_damage_mult = 1.00
@ukn_disruptor_8_armor_damage_mult = 1.00
@ukn_disruptor_9_armor_damage_mult = 1.00
@ukn_disruptor_10_armor_damage_mult = 1.00
@ukn_disruptor_planck_armor_damage_mult = 1.00

@ukn_disruptor_4_shield_damage_mult = 1.00
@ukn_disruptor_5_shield_damage_mult = 1.00
@ukn_disruptor_6_shield_damage_mult = 1.00
@ukn_disruptor_7_shield_damage_mult = 1.00
@ukn_disruptor_8_shield_damage_mult = 1.00
@ukn_disruptor_9_shield_damage_mult = 1.00
@ukn_disruptor_10_shield_damage_mult = 1.00
@ukn_disruptor_planck_shield_damage_mult = 1.00
#---

@ukn_disruptor_4_accuracy = 1.00
@ukn_disruptor_5_accuracy = 1.00
@ukn_disruptor_6_accuracy = 1.00
@ukn_disruptor_7_accuracy = 1.00
@ukn_disruptor_8_accuracy = 1.00
@ukn_disruptor_9_accuracy = 1.00
@ukn_disruptor_10_accuracy = 1.00
@ukn_disruptor_planck_accuracy = 1.00


# SMALL #---------------------------

@ukn_disruptor_4_s_power = -13
@ukn_disruptor_5_s_power = -17
@ukn_disruptor_6_s_power = -23
@ukn_disruptor_7_s_power = -32
@ukn_disruptor_8_s_power = -47
@ukn_disruptor_9_s_power = -102
@ukn_disruptor_10_s_power = -158
@ukn_disruptor_planck_s_power = -68
#---

@ukn_disruptor_4_s_dmg_min = 1
@ukn_disruptor_5_s_dmg_min = 1
@ukn_disruptor_6_s_dmg_min = 1
@ukn_disruptor_7_s_dmg_min = 1
@ukn_disruptor_8_s_dmg_min = 1
@ukn_disruptor_9_s_dmg_min = 1
@ukn_disruptor_10_s_dmg_min = 1
@ukn_disruptor_planck_s_dmg_min = 1

@ukn_disruptor_4_s_dmg_max = 28 
@ukn_disruptor_5_s_dmg_max = 36 
@ukn_disruptor_6_s_dmg_max = 49 
@ukn_disruptor_7_s_dmg_max = 68 
@ukn_disruptor_8_s_dmg_max = 99 
@ukn_disruptor_9_s_dmg_max = 215 
@ukn_disruptor_10_s_dmg_max = 332 
@ukn_disruptor_planck_s_dmg_max = 143 
#---

@ukn_disruptor_4_s_windup_min = 2
@ukn_disruptor_5_s_windup_min = 2
@ukn_disruptor_6_s_windup_min = 2
@ukn_disruptor_7_s_windup_min = 2
@ukn_disruptor_8_s_windup_min = 2
@ukn_disruptor_9_s_windup_min = 2
@ukn_disruptor_10_s_windup_min = 2
@ukn_disruptor_planck_s_windup_min = 2

@ukn_disruptor_4_s_windup_max = 20
@ukn_disruptor_5_s_windup_max = 20
@ukn_disruptor_6_s_windup_max = 20
@ukn_disruptor_7_s_windup_max = 20
@ukn_disruptor_8_s_windup_max = 20
@ukn_disruptor_9_s_windup_max = 20
@ukn_disruptor_10_s_windup_max = 20
@ukn_disruptor_planck_s_windup_max = 20
#---

@ukn_disruptor_4_s_total_fire_time = 50
@ukn_disruptor_5_s_total_fire_time = 50
@ukn_disruptor_6_s_total_fire_time = 50
@ukn_disruptor_7_s_total_fire_time = 50
@ukn_disruptor_8_s_total_fire_time = 50
@ukn_disruptor_9_s_total_fire_time = 50
@ukn_disruptor_10_s_total_fire_time = 50
@ukn_disruptor_planck_s_total_fire_time = 50
#---

@ukn_disruptor_4_s_range = 40
@ukn_disruptor_5_s_range = 40
@ukn_disruptor_6_s_range = 45
@ukn_disruptor_7_s_range = 45
@ukn_disruptor_8_s_range = 45
@ukn_disruptor_9_s_range = 55
@ukn_disruptor_10_s_range = 55
@ukn_disruptor_planck_s_range = 45
#---

@ukn_disruptor_4_s_tracking = 0.60
@ukn_disruptor_5_s_tracking = 0.60
@ukn_disruptor_6_s_tracking = 0.65
@ukn_disruptor_7_s_tracking = 0.65
@ukn_disruptor_8_s_tracking = 0.65
@ukn_disruptor_9_s_tracking = 0.70
@ukn_disruptor_10_s_tracking = 0.70
@ukn_disruptor_planck_s_tracking = 0.65


# MEDIUM #---------------------------

@ukn_disruptor_4_m_power = -23 
@ukn_disruptor_5_m_power = -30 
@ukn_disruptor_6_m_power = -40 
@ukn_disruptor_7_m_power = -57 
@ukn_disruptor_8_m_power = -82 
@ukn_disruptor_9_m_power = -179 
@ukn_disruptor_10_m_power = -277 
@ukn_disruptor_planck_m_power = -119 
#---

@ukn_disruptor_4_m_dmg_min = 1
@ukn_disruptor_5_m_dmg_min = 1
@ukn_disruptor_6_m_dmg_min = 1
@ukn_disruptor_7_m_dmg_min = 1
@ukn_disruptor_8_m_dmg_min = 1
@ukn_disruptor_9_m_dmg_min = 1
@ukn_disruptor_10_m_dmg_min = 1
