##################
### EXA-LANCES ###
##################

@ukn_exa_lance_6_hull_damage_mult = 1.35
@ukn_exa_lance_7_hull_damage_mult = 1.35
@ukn_exa_lance_8_hull_damage_mult = 1.35
@ukn_exa_lance_9_hull_damage_mult = 1.55
@ukn_exa_lance_10_hull_damage_mult = 1.55
@ukn_exa_lance_planck_hull_damage_mult = 1.35

@ukn_exa_lance_6_armor_penetration_mult = 0.00
@ukn_exa_lance_7_armor_penetration_mult = 0.00
@ukn_exa_lance_8_armor_penetration_mult = 0.00
@ukn_exa_lance_9_armor_penetration_mult = 0.00
@ukn_exa_lance_10_armor_penetration_mult = 0.00
@ukn_exa_lance_planck_armor_penetration_mult = 0.00

@ukn_exa_lance_6_shield_penetration_mult = 0.00
@ukn_exa_lance_7_shield_penetration_mult = 0.00
@ukn_exa_lance_8_shield_penetration_mult = 0.00
@ukn_exa_lance_9_shield_penetration_mult = 0.00
@ukn_exa_lance_10_shield_penetration_mult = 0.00
@ukn_exa_lance_planck_shield_penetration_mult = 0.00

@ukn_exa_lance_6_armor_damage_mult = 1.65
@ukn_exa_lance_7_armor_damage_mult = 1.65
@ukn_exa_lance_8_armor_damage_mult = 1.65
@ukn_exa_lance_9_armor_damage_mult = 1.90
@ukn_exa_lance_10_armor_damage_mult = 1.90
@ukn_exa_lance_planck_armor_damage_mult = 1.65

@ukn_exa_lance_6_shield_damage_mult = 0.85
@ukn_exa_lance_7_shield_damage_mult = 0.85
@ukn_exa_lance_8_shield_damage_mult = 0.85
@ukn_exa_lance_9_shield_damage_mult = 0.95
@ukn_exa_lance_10_shield_damage_mult = 0.95
@ukn_exa_lance_planck_shield_damage_mult = 0.85
#---

@ukn_exa_lance_6_tracking = 0.00
@ukn_exa_lance_7_tracking = 0.00
@ukn_exa_lance_8_tracking = 0.00
@ukn_exa_lance_9_tracking = 0.00
@ukn_exa_lance_10_tracking = 0.00
@ukn_exa_lance_planck_tracking = 0.00
#---

@ukn_exa_lance_6_firing_arc = 25.0
@ukn_exa_lance_7_firing_arc = 25.0
@ukn_exa_lance_8_firing_arc = 25.0
@ukn_exa_lance_9_firing_arc = 25.0
@ukn_exa_lance_10_firing_arc = 25.0
@ukn_exa_lance_planck_firing_arc = 25.0

@ukn_exa_lance_6_min_range = 10
@ukn_exa_lance_7_min_range = 10
@ukn_exa_lance_8_min_range = 10
@ukn_exa_lance_9_min_range = 10
@ukn_exa_lance_10_min_range = 10
@ukn_exa_lance_planck_min_range = 10


# COLOSSAL (Only Slot) #---------------------------

@ukn_exa_lance_6_power = -2024
@ukn_exa_lance_7_power = -2834
@ukn_exa_lance_8_power = -4109
@ukn_exa_lance_9_power = -8937
@ukn_exa_lance_10_power = -13852
@ukn_exa_lance_planck_power = -5958
#---

@ukn_exa_lance_6_dmg_min = 18522
@ukn_exa_lance_7_dmg_min = 25931
@ukn_exa_lance_8_dmg_min = 37600
@ukn_exa_lance_9_dmg_min = 81779
@ukn_exa_lance_10_dmg_min = 126758
@ukn_exa_lance_planck_dmg_min = 54520

@ukn_exa_lance_6_dmg_max = 46301
@ukn_exa_lance_7_dmg_max = 64821
@ukn_exa_lance_8_dmg_max = 93990
@ukn_exa_lance_9_dmg_max = 204429
@ukn_exa_lance_10_dmg_max = 316865
@ukn_exa_lance_planck_dmg_max = 136286
#---

@ukn_exa_lance_6_windup_min = 15
@ukn_exa_lance_7_windup_min = 15
@ukn_exa_lance_8_windup_min = 15
@ukn_exa_lance_9_windup_min = 15
@ukn_exa_lance_10_windup_min = 15
@ukn_exa_lance_planck_windup_min = 15

@ukn_exa_lance_6_windup_max = 45
@ukn_exa_lance_7_windup_max = 45
@ukn_exa_lance_8_windup_max = 45
@ukn_exa_lance_9_windup_max = 45
@ukn_exa_lance_10_windup_max = 45
@ukn_exa_lance_planck_windup_max = 45
#---

@ukn_exa_lance_6_total_fire_time = 155
@ukn_exa_lance_7_total_fire_time = 155
@ukn_exa_lance_8_total_fire_time = 155
@ukn_exa_lance_9_total_fire_time = 155
@ukn_exa_lance_10_total_fire_time = 155
