###################
##### LASERS ######
###################

@ukn_laser_1_hull_damage_mult = 1.00
@ukn_laser_2_hull_damage_mult = 1.00
@ukn_laser_3_hull_damage_mult = 1.00
@ukn_laser_4_hull_damage_mult = 1.00
@ukn_laser_5_hull_damage_mult = 1.00
@ukn_laser_6_hull_damage_mult = 1.10
@ukn_laser_7_hull_damage_mult = 1.10
@ukn_laser_8_hull_damage_mult = 1.10
@ukn_laser_9_hull_damage_mult = 1.25
@ukn_laser_10_hull_damage_mult = 1.25
@ukn_laser_planck_hull_damage_mult = 1.25

@ukn_laser_1_armor_penetration_mult = 0.00
@ukn_laser_2_armor_penetration_mult = 0.00
@ukn_laser_3_armor_penetration_mult = 0.00
@ukn_laser_4_armor_penetration_mult = 0.00
@ukn_laser_5_armor_penetration_mult = 0.00
@ukn_laser_6_armor_penetration_mult = 0.00
@ukn_laser_7_armor_penetration_mult = 0.00
@ukn_laser_8_armor_penetration_mult = 0.00
@ukn_laser_9_armor_penetration_mult = 0.00
@ukn_laser_10_armor_penetration_mult = 0.00
@ukn_laser_planck_armor_penetration_mult = 0.00

@ukn_laser_1_shield_penetration_mult = 0.00
@ukn_laser_2_shield_penetration_mult = 0.00
@ukn_laser_3_shield_penetration_mult = 0.00
@ukn_laser_4_shield_penetration_mult = 0.00
@ukn_laser_5_shield_penetration_mult = 0.00
@ukn_laser_6_shield_penetration_mult = 0.00
@ukn_laser_7_shield_penetration_mult = 0.00
@ukn_laser_8_shield_penetration_mult = 0.00
@ukn_laser_9_shield_penetration_mult = 0.00
@ukn_laser_10_shield_penetration_mult = 0.00
@ukn_laser_planck_shield_penetration_mult = 0.00

@ukn_laser_1_armor_damage_mult = 1.50
@ukn_laser_2_armor_damage_mult = 1.50
@ukn_laser_3_armor_damage_mult = 1.50
@ukn_laser_4_armor_damage_mult = 1.50
@ukn_laser_5_armor_damage_mult = 1.50
@ukn_laser_6_armor_damage_mult = 1.65
@ukn_laser_7_armor_damage_mult = 1.65
@ukn_laser_8_armor_damage_mult = 1.65
@ukn_laser_9_armor_damage_mult = 1.90
@ukn_laser_10_armor_damage_mult = 1.90
@ukn_laser_planck_armor_damage_mult = 1.90

@ukn_laser_1_shield_damage_mult = 0.50
@ukn_laser_2_shield_damage_mult = 0.50
@ukn_laser_3_shield_damage_mult = 0.50
