####################
##### INSTANT ######
####################

@ukn_crisis_ed_weapon_1_hull_damage_mult = 1.00
@ukn_crisis_ed_probe_lightning_1_hull_damage_mult = 1.00
@ukn_crisis_scourge_plasma_1_hull_damage_mult = 1.00

@ukn_crisis_ed_weapon_1_armor_penetration_mult = 0.00
@ukn_crisis_ed_probe_lightning_1_armor_penetration_mult = 0.00
@ukn_crisis_scourge_plasma_1_armor_penetration_mult = 0.00

@ukn_crisis_ed_weapon_1_shield_penetration_mult = 0.00
@ukn_crisis_ed_probe_lightning_1_shield_penetration_mult = 0.00
@ukn_crisis_scourge_plasma_1_shield_penetration_mult = 0.00

@ukn_crisis_ed_weapon_1_armor_damage_mult = 1.50
@ukn_crisis_ed_probe_lightning_1_armor_damage_mult = 1.50
@ukn_crisis_scourge_plasma_1_armor_damage_mult = 1.50

@ukn_crisis_ed_weapon_1_shield_damage_mult = 0.50
@ukn_crisis_ed_probe_lightning_1_shield_damage_mult = 0.50
@ukn_crisis_scourge_plasma_1_shield_damage_mult = 0.50
#---

@ukn_crisis_ed_weapon_1_accuracy = 0.90
@ukn_crisis_ed_probe_lightning_1_accuracy = 0.90
@ukn_crisis_scourge_plasma_1_accuracy = 0.90


# SMALL #---------------------------

@ukn_crisis_ed_weapon_1_s_power = 6
@ukn_crisis_ed_probe_lightning_1_s_power = 8
@ukn_crisis_scourge_plasma_1_s_power = 10
#---

@ukn_crisis_ed_weapon_1_s_dmg_min = 6
@ukn_crisis_ed_probe_lightning_1_s_dmg_min = 8
@ukn_crisis_scourge_plasma_1_s_dmg_min = 10

@ukn_crisis_ed_weapon_1_s_dmg_max = 16
@ukn_crisis_ed_probe_lightning_1_s_dmg_max = 21
@ukn_crisis_scourge_plasma_1_s_dmg_max = 27
#---

@ukn_crisis_ed_weapon_1_s_windup_min = 2
@ukn_crisis_ed_probe_lightning_1_s_windup_min = 2
@ukn_crisis_scourge_plasma_1_s_windup_min = 2

@ukn_crisis_ed_weapon_1_s_windup_max = 20
@ukn_crisis_ed_probe_lightning_1_s_windup_max = 20
@ukn_crisis_scourge_plasma_1_s_windup_max = 20
#---

@ukn_crisis_ed_weapon_1_s_total_fire_time = 35
@ukn_crisis_ed_probe_lightning_1_s_total_fire_time = 35
@ukn_crisis_scourge_plasma_1_s_total_fire_time = 35
#---

@ukn_crisis_ed_weapon_1_s_range = 40
@ukn_crisis_ed_probe_lightning_1_s_range = 40
@ukn_crisis_scourge_plasma_1_s_range = 40
#---

@ukn_crisis_ed_weapon_1_s_tracking = 0.50
@ukn_crisis_ed_probe_lightning_1_s_tracking = 0.50
@ukn_crisis_scourge_plasma_1_s_tracking = 0.50


# MEDIUM #---------------------------

@ukn_crisis_ed_weapon_1_m_power = -11 
@ukn_crisis_ed_probe_lightning_1_m_power = -14 
@ukn_crisis_scourge_plasma_1_m_power = -18 
#---

@ukn_crisis_ed_weapon_1_m_dmg_min = 15 
@ukn_crisis_ed_probe_lightning_1_m_dmg_min = 20 
@ukn_crisis_scourge_plasma_1_m_dmg_min = 25 

@ukn_crisis_ed_weapon_1_m_dmg_max = 40 
@ukn_crisis_ed_probe_lightning_1_m_dmg_max = 52 
@ukn_crisis_scourge_plasma_1_m_dmg_max = 68 
#---

@ukn_crisis_ed_weapon_1_m_windup_min = 2
@ukn_crisis_ed_probe_lightning_1_m_windup_min = 2
@ukn_crisis_scourge_plasma_1_m_windup_min = 2

@ukn_crisis_ed_weapon_1_m_windup_max = 20
@ukn_crisis_ed_probe_lightning_1_m_windup_max = 20
@ukn_crisis_scourge_plasma_1_m_windup_max = 20
#---

@ukn_crisis_ed_weapon_1_m_total_fire_time = 35
@ukn_crisis_ed_probe_lightning_1_m_total_fire_time = 35
@ukn_crisis_scourge_plasma_1_m_total_fire_time = 35
#---

@ukn_crisis_ed_weapon_1_m_range = 60
@ukn_crisis_ed_probe_lightning_1_m_range = 60
@ukn_crisis_scourge_plasma_1_m_range = 60
#---

@ukn_crisis_ed_weapon_1_m_tracking = 0.30
@ukn_crisis_ed_probe_lightning_1_m_tracking = 0.30
@ukn_crisis_scourge_plasma_1_m_tracking = 0.30


# LARGE #---------------------------

@ukn_crisis_ed_weapon_1_l_power = -20
@ukn_crisis_ed_probe_lightning_1_l_power = -27 
@ukn_crisis_scourge_plasma_1_l_power = -35 
#---

@ukn_crisis_ed_weapon_1_l_dmg_min = 36 
@ukn_crisis_ed_probe_lightning_1_l_dmg_min = 47 
@ukn_crisis_scourge_plasma_1_l_dmg_min = 61 

@ukn_crisis_ed_weapon_1_l_dmg_max = 97 
@ukn_crisis_ed_probe_lightning_1_l_dmg_max = 126 
@ukn_crisis_scourge_plasma_1_l_dmg_max = 163 
#---

@ukn_crisis_ed_weapon_1_l_windup_min = 2
@ukn_crisis_ed_probe_lightning_1_l_windup_min = 2
@ukn_crisis_scourge_plasma_1_l_windup_min = 2

@ukn_crisis_ed_weapon_1_l_windup_max = 20
@ukn_crisis_ed_probe_lightning_1_l_windup_max = 20
@ukn_crisis_scourge_plasma_1_l_windup_max = 20
#---

@ukn_crisis_ed_weapon_1_l_total_fire_time = 35
@ukn_crisis_ed_probe_lightning_1_l_total_fire_time = 35
@ukn_crisis_scourge_plasma_1_l_total_fire_time = 35
#---

@ukn_crisis_ed_weapon_1_l_range = 80
@ukn_crisis_ed_probe_lightning_1_l_range = 80
@ukn_crisis_scourge_plasma_1_l_range = 80
#---

@ukn_crisis_ed_weapon_1_l_tracking = 0.05
@ukn_crisis_ed_probe_lightning_1_l_tracking = 0.05
@ukn_crisis_scourge_plasma_1_l_tracking = 0.05

#####################
##### MISSILES ######
#####################

ukn_crisis_scourge_missile_1_hull_damage_mult = 1.25

ukn_crisis_scourge_missile_1_armor_penetration_mult = 0.00

ukn_crisis_scourge_missile_1_shield_penetration_mult = 1.00

ukn_crisis_scourge_missile_1_armor_damage_mult = 1.00

ukn_crisis_scourge_missile_1_shield_damage_mult = 1.00
#---

ukn_crisis_scourge_missile_1_accuracy = 1.00

# MISSILE STATS #-------------------

ukn_crisis_scourge_missile_1_missile_speed = 18

ukn_crisis_scourge_missile_1_missile_evasion = 0.00

ukn_crisis_scourge_missile_1_missile_health = 3

ukn_crisis_scourge_missile_1_missile_retarget_range = 100


# GENERAL STATS #---------------------------

ukn_crisis_scourge_missile_1_power = -7
#---

ukn_crisis_scourge_missile_1_dmg_min = 23

ukn_crisis_scourge_missile_1_dmg_max = 31
#---

ukn_crisis_scourge_missile_1_windup_min = 1

ukn_crisis_scourge_missile_1_windup_max = 15
#---

ukn_crisis_scourge_missile_1_total_fire_time = 60
#---

ukn_crisis_scourge_missile_1_range = 100
#---

ukn_crisis_scourge_missile_1_tracking = 0.25


#########################
##### STRIKE CRAFT ######
#########################

@ukn_crisis_ai_strike_craft_1_hull_damage_mult = 1.75
@ukn_crisis_swarm_strike_craft_1_hull_damage_mult = 1.75

@ukn_crisis_ai_strike_craft_1_armor_penetration_mult = 0.00
@ukn_crisis_swarm_strike_craft_1_armor_penetration_mult = 0.00

@ukn_crisis_ai_strike_craft_1_shield_penetration_mult = 1.00
@ukn_crisis_swarm_strike_craft_1_shield_penetration_mult = 1.00

@ukn_crisis_ai_strike_craft_1_armor_damage_mult = 0.75
@ukn_crisis_swarm_strike_craft_1_armor_damage_mult = 0.75

@ukn_crisis_ai_strike_craft_1_shield_damage_mult = 1.00
