[17:42:14][modifier.cpp:386]: [0] Tag: blank_modifier, Categories: 2
[17:42:14][modifier.cpp:386]: [1] Tag: pop_political_power, Categories: 2
[17:42:14][modifier.cpp:386]: [2] Tag: pop_happiness, Categories: 2
[17:42:14][modifier.cpp:386]: [3] Tag: biological_pop_happiness, Categories: 2
[17:42:14][modifier.cpp:386]: [4] Tag: pop_housing_usage_base, Categories: 2
[17:42:14][modifier.cpp:386]: [5] Tag: pop_housing_usage_add, Categories: 2
[17:42:14][modifier.cpp:386]: [6] Tag: pop_housing_usage_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [7] Tag: pop_amenities_usage_base, Categories: 2
[17:42:14][modifier.cpp:386]: [8] Tag: pop_amenities_usage_add, Categories: 2
[17:42:14][modifier.cpp:386]: [9] Tag: pop_amenities_usage_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [10] Tag: pop_amenities_usage_no_happiness_base, Categories: 2
[17:42:14][modifier.cpp:386]: [11] Tag: pop_amenities_usage_no_happiness_add, Categories: 2
[17:42:14][modifier.cpp:386]: [12] Tag: pop_amenities_usage_no_happiness_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [13] Tag: pop_decline_speed, Categories: 2
[17:42:14][modifier.cpp:386]: [14] Tag: pop_growth_from_immigration, Categories: 2
[17:42:14][modifier.cpp:386]: [15] Tag: pop_growth_speed, Categories: 2
[17:42:14][modifier.cpp:386]: [16] Tag: pop_growth_speed_reduction, Categories: 2
[17:42:14][modifier.cpp:386]: [17] Tag: pop_assembly_speed, Categories: 2
[17:42:14][modifier.cpp:386]: [18] Tag: pop_environment_tolerance, Categories: 131072
[17:42:14][modifier.cpp:386]: [19] Tag: pop_government_ethic_attraction, Categories: 2
[17:42:14][modifier.cpp:386]: [20] Tag: pop_ethics_shift_speed_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [21] Tag: pop_citizen_happiness, Categories: 2
[17:42:14][modifier.cpp:386]: [22] Tag: force_disparity_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [23] Tag: ship_hull_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [24] Tag: ship_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [25] Tag: ship_hull_regen_add_perc, Categories: 16508
[17:42:14][modifier.cpp:386]: [26] Tag: ship_hull_regen_add_static, Categories: 16508
[17:42:14][modifier.cpp:386]: [27] Tag: ship_hull_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [28] Tag: ship_armor_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [29] Tag: ship_armor_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [30] Tag: ship_armor_reduction, Categories: 16508
[17:42:14][modifier.cpp:386]: [31] Tag: ship_armor_regen_add_perc, Categories: 16508
[17:42:14][modifier.cpp:386]: [32] Tag: ship_armor_regen_add_static, Categories: 16508
[17:42:14][modifier.cpp:386]: [33] Tag: ship_armor_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [34] Tag: ship_armor_penetration_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [35] Tag: ship_shield_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [36] Tag: ship_shield_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [37] Tag: ship_shield_reduction, Categories: 16508
[17:42:14][modifier.cpp:386]: [38] Tag: ship_shield_regen_add_perc, Categories: 16508
[17:42:14][modifier.cpp:386]: [39] Tag: ship_shield_regen_add_static, Categories: 16508
[17:42:14][modifier.cpp:386]: [40] Tag: ship_shield_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [41] Tag: ship_shield_penetration_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [42] Tag: ship_weapon_damage, Categories: 16508
[17:42:14][modifier.cpp:386]: [43] Tag: ship_weapon_range_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [44] Tag: ship_orbital_bombardment_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [45] Tag: ship_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [46] Tag: ship_home_territory_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [47] Tag: ship_piracy_suppression_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [48] Tag: ship_piracy_suppression_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [49] Tag: ship_hyperlane_range_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [50] Tag: ship_ftl_jumpdrive_range_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [51] Tag: ship_emergency_ftl_min_days_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [52] Tag: ship_emergency_ftl_min_days_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [53] Tag: ship_disengage_chance_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [54] Tag: ship_disengage_chance_reduction, Categories: 16508
[17:42:14][modifier.cpp:386]: [55] Tag: ship_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [56] Tag: ship_evasion_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [57] Tag: ship_accuracy_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [58] Tag: ship_accuracy_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [59] Tag: ship_tracking_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [60] Tag: ship_tracking_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [61] Tag: ship_base_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [62] Tag: ship_speed_mult, Categories: 16508
